game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
MAD-PAR,35,PLAYOFFS,True,True,Punter Kevin,34:08,26,1,3,5,8,9,9,0,3,3,6,0,2,0,0,1,6,33,7
MAD-PAR,39,PLAYOFFS,True,True,Punter Kevin,36:48,28,1,4,7,13,5,5,0,2,2,3,0,2,0,1,2,7,26,-9
PAR-MAD,32,REGULAR SEASON,False,True,Punter Kevin,29:13,16,5,12,1,2,3,3,0,2,2,6,3,0,0,1,3,3,18,24
ULK-PAR,15,REGULAR SEASON,False,True,Punter Kevin,23:09,12,3,4,0,3,6,8,1,4,5,2,1,1,1,0,1,4,17,-5
PAR-OLY,30,REGULAR SEASON,True,True,Punter Kevin,31:45,17,0,3,4,7,5,5,0,1,1,3,0,1,0,1,2,4,15,6
BAR-PAR,9,REGULAR SEASON,False,True,Punter Kevin,12:53,2,0,5,0,0,2,2,1,0,1,0,1,0,0,0,1,2,0,-6
ZAL-PAR,23,REGULAR SEASON,True,True,Punter Kevin,25:06,14,4,5,2,4,0,0,0,1,1,3,1,1,0,0,3,0,12,3
MAD-PAR,10,REGULAR SEASON,True,True,Punter Kevin,33:04,16,2,4,3,8,3,5,0,5,5,3,1,2,0,2,2,7,17,-8
PAR-BAS,19,REGULAR SEASON,True,True,Punter Kevin,26:20,12,0,3,3,5,3,4,0,1,1,1,1,1,0,0,1,2,9,22
TEL-PAR,18,REGULAR SEASON,False,True,Punter Kevin,28:16,22,4,6,3,5,5,5,0,2,2,3,1,1,0,0,4,5,24,7
PAM-PAR,20,REGULAR SEASON,True,True,Punter Kevin,26:40,14,2,4,3,4,1,1,0,1,1,4,1,5,0,0,2,2,12,-2
MCO-PAR,33,REGULAR SEASON,True,True,Punter Kevin,26:10,8,1,2,2,4,0,0,0,0,0,4,0,2,0,0,1,1,7,-11
RED-PAR,21,REGULAR SEASON,True,True,Punter Kevin,20:37,6,0,1,1,3,3,4,0,1,1,1,1,0,0,0,4,4,5,2
ASV-PAR,13,REGULAR SEASON,False,True,Punter Kevin,23:24,7,1,3,1,3,2,3,0,0,0,1,0,0,0,0,0,3,6,-1
PAR-TEL,8,REGULAR SEASON,False,True,Punter Kevin,32:18,13,4,10,1,5,2,2,0,5,5,3,0,0,1,1,3,2,10,13
PAR-ASV,22,REGULAR SEASON,True,True,Punter Kevin,21:02,22,5,10,3,5,3,3,2,2,4,2,1,0,0,0,2,4,24,22
PAR-PAM,11,REGULAR SEASON,False,True,Punter Kevin,27:40,19,2,4,3,7,6,7,0,0,0,3,1,5,0,1,5,4,9,4
MAD-PAR,36,PLAYOFFS,True,True,Punter Kevin,25:51,14,0,2,4,6,2,2,0,1,1,3,1,2,0,0,5,5,13,17
PAR-PAN,34,REGULAR SEASON,False,True,Punter Kevin,31:25,17,4,10,3,6,0,0,1,0,1,2,0,3,1,2,3,3,7,3
PAR-MUN,16,REGULAR SEASON,False,True,Punter Kevin,22:28,6,1,6,0,2,4,4,0,1,1,2,1,0,0,0,4,3,2,-9
VIR-PAR,27,REGULAR SEASON,True,True,Punter Kevin,30:36,17,6,8,1,3,2,2,0,1,1,1,3,0,0,0,3,3,18,20
PAR-BER,26,REGULAR SEASON,True,True,Punter Kevin,29:01,16,2,4,2,5,6,6,0,2,2,3,3,3,0,0,3,4,17,19
PAR-RED,12,REGULAR SEASON,True,True,Punter Kevin,29:26,15,5,7,1,5,2,2,1,0,1,0,3,1,0,0,3,3,12,-2
BAS-PAR,2,REGULAR SEASON,False,True,Punter Kevin,33:00,26,4,11,3,7,9,9,2,3,5,2,1,1,0,0,4,6,24,-8
MUN-PAR,24,REGULAR SEASON,True,True,Punter Kevin,26:56,19,5,8,1,2,6,6,0,2,2,1,0,0,0,0,2,3,19,0
OLY-PAR,7,REGULAR SEASON,True,True,Punter Kevin,33:26,14,5,6,1,7,1,2,0,0,0,2,4,2,0,0,4,4,10,-26
IST-PAR,29,REGULAR SEASON,True,True,Punter Kevin,27:57,19,3,5,3,5,4,4,0,3,3,1,1,1,0,2,3,3,17,11
PAN-PAR,6,REGULAR SEASON,True,True,Punter Kevin,35:48,29,4,9,6,8,3,4,0,1,1,4,1,3,0,1,3,4,24,-3
PAR-ULK,25,REGULAR SEASON,True,True,Punter Kevin,28:52,25,5,7,3,6,6,6,0,1,1,2,0,0,0,1,5,7,24,6
PAR-BAR,31,REGULAR SEASON,True,True,Punter Kevin,26:54,16,5,11,1,6,3,3,0,2,2,2,0,0,1,1,3,3,9,-9
BER-PAR,1,REGULAR SEASON,True,True,Punter Kevin,32:04,13,2,5,1,5,6,6,0,6,6,3,1,0,0,0,1,6,21,-9
PAR-MIL,3,REGULAR SEASON,True,True,Punter Kevin,33:02,7,1,5,1,4,2,2,0,5,5,2,0,1,0,1,2,3,6,-1
PAR-IST,14,REGULAR SEASON,False,True,Punter Kevin,30:43,18,6,9,0,2,6,6,0,2,2,4,3,0,0,2,0,6,26,-1
PAR-VIR,4,REGULAR SEASON,False,True,Punter Kevin,23:18,10,3,5,1,6,1,2,2,1,3,3,1,1,0,1,3,3,7,5
MIL-PAR,28,REGULAR SEASON,True,True,Punter Kevin,28:46,15,5,8,0,3,5,5,0,5,5,3,0,1,0,1,3,4,16,3
PAR-ZAL,5,REGULAR SEASON,False,True,Punter Kevin,19:28,26,7,10,3,4,3,4,0,0,0,1,1,3,0,0,4,4,20,10
PAR-MCO,17,REGULAR SEASON,True,True,Punter Kevin,24:25,19,2,5,4,5,3,3,0,1,1,4,1,2,0,0,4,3,18,17
MAD-PAR,39,PLAYOFFS,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,39,PLAYOFFS,True,True,Leday Zach,32:27,9,0,5,3,5,0,0,0,3,3,1,0,0,1,1,2,1,5,-13
MAD-PAR,39,PLAYOFFS,False,False,Koprivica Balsa,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,39,PLAYOFFS,True,True,Smailagic Alen,08:56,4,2,3,0,0,0,0,0,1,1,0,2,0,3,0,5,2,6,4
MAD-PAR,39,PLAYOFFS,True,True,Papapetrou Ioannis,28:42,10,2,4,1,1,3,4,1,1,2,1,0,3,2,0,3,3,9,-6
MAD-PAR,39,PLAYOFFS,False,True,Lessort Mathias,25:03,13,3,5,0,0,7,8,1,1,2,1,1,0,0,0,4,6,16,-5
MAD-PAR,39,PLAYOFFS,False,True,Trifunovic Uros,04:06,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,-3,4
MAD-PAR,39,PLAYOFFS,True,True,Madar Yam,17:02,5,2,4,0,1,1,2,2,2,4,4,0,0,0,0,2,1,8,-9
MAD-PAR,39,PLAYOFFS,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,94,12,32,15,29,25,30,8,20,28,16,4,6,6,3,23,28,105,0
PAR-MAD,32,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-MAD,32,REGULAR SEASON,True,True,Leday Zach,26:11,6,0,3,1,1,3,3,1,1,2,0,0,2,0,0,3,2,2,5
PAR-MAD,32,REGULAR SEASON,True,True,Avramovic Aleksa,15:17,5,1,5,1,4,0,0,0,2,2,1,2,0,0,0,1,1,3,4
PAR-MAD,32,REGULAR SEASON,True,True,Smailagic Alen,09:07,11,3,5,1,1,2,4,0,0,0,1,1,1,0,2,5,2,3,4
PAR-MAD,32,REGULAR SEASON,True,True,Papapetrou Ioannis,22:05,10,4,5,0,0,2,2,1,4,5,0,0,2,0,0,4,2,10,5
PAR-MAD,32,REGULAR SEASON,False,True,Lessort Mathias,30:51,16,7,9,0,0,2,3,4,4,8,3,2,0,1,0,4,6,29,10
PAR-MAD,32,REGULAR SEASON,True,True,Trifunovic Uros,08:52,4,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,5,-10
PAR-MAD,32,REGULAR SEASON,False,True,Madar Yam,05:56,2,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,-4,-4
PAR-MAD,32,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,104,29,51,7,13,25,31,10,22,32,19,8,9,1,3,27,24,115,0
ULK-PAR,15,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULK-PAR,15,REGULAR SEASON,True,True,Leday Zach,28:17,8,4,6,0,0,0,0,0,6,6,2,0,0,0,0,3,1,12,0
ULK-PAR,15,REGULAR SEASON,False,True,Avramovic Aleksa,08:32,6,1,1,0,0,4,7,1,2,3,0,0,1,0,0,2,5,8,2
ULK-PAR,15,REGULAR SEASON,True,True,Smailagic Alen,07:29,4,2,4,0,2,0,0,1,0,1,0,2,0,0,1,1,0,1,-8
ULK-PAR,15,REGULAR SEASON,False,True,Papapetrou Ioannis,26:32,5,1,6,1,2,0,2,2,4,6,1,1,0,1,0,2,3,7,4
ULK-PAR,15,REGULAR SEASON,False,True,Lessort Mathias,32:04,12,4,7,0,0,4,6,2,2,4,0,1,0,0,0,3,4,13,9
ULK-PAR,15,REGULAR SEASON,True,True,Trifunovic Uros,05:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
ULK-PAR,15,REGULAR SEASON,False,True,Madar Yam,13:35,7,1,3,1,3,2,4,1,3,4,2,0,1,0,1,1,2,6,2
ULK-PAR,15,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,73,19,42,4,14,23,34,9,29,38,12,5,7,2,2,21,25,81,0
PAR-OLY,30,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-OLY,30,REGULAR SEASON,True,True,Leday Zach,22:06,6,1,1,1,3,1,1,1,3,4,0,0,1,0,0,1,4,10,4
PAR-OLY,30,REGULAR SEASON,False,True,Avramovic Aleksa,16:45,2,1,1,0,1,0,0,0,3,3,1,0,2,0,0,4,1,0,18
PAR-OLY,30,REGULAR SEASON,True,True,Smailagic Alen,07:40,5,1,4,1,1,0,0,1,0,1,0,0,1,0,1,2,0,-1,-9
PAR-OLY,30,REGULAR SEASON,False,True,Papapetrou Ioannis,15:22,10,2,3,2,5,0,0,0,3,3,2,1,1,0,0,1,0,10,10
PAR-OLY,30,REGULAR SEASON,False,True,Lessort Mathias,32:20,12,4,6,0,0,4,4,5,5,10,3,0,1,0,0,0,4,26,24
PAR-OLY,30,REGULAR SEASON,False,True,Trifunovic Uros,05:11,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
PAR-OLY,30,REGULAR SEASON,True,True,Madar Yam,14:54,4,1,4,0,2,2,2,0,0,0,3,2,1,0,1,2,2,2,3
PAR-OLY,30,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,90,19,35,12,29,16,18,9,22,31,22,8,10,0,4,19,21,104,0
BAR-PAR,9,REGULAR SEASON,True,True,Leday Zach,30:30,8,2,6,0,1,4,4,0,3,3,1,0,0,0,0,2,4,9,-17
BAR-PAR,9,REGULAR SEASON,False,True,Smailagic Alen,08:01,5,0,2,1,1,2,2,1,0,1,0,0,0,1,0,4,1,2,-1
BAR-PAR,9,REGULAR SEASON,True,True,Papapetrou Ioannis,25:24,4,1,4,0,3,2,2,1,3,4,0,0,0,0,1,0,2,3,-10
BAR-PAR,9,REGULAR SEASON,False,True,Brodziansky Vladimir,14:33,3,0,2,1,1,0,0,1,4,5,1,0,0,1,0,3,0,5,3
BAR-PAR,9,REGULAR SEASON,False,False,Glas Gregor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR-PAR,9,REGULAR SEASON,True,True,Lessort Mathias,26:54,5,2,2,0,0,1,2,2,3,5,1,1,0,1,0,3,2,11,-7
BAR-PAR,9,REGULAR SEASON,False,True,Trifunovic Uros,08:07,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,-1,6
BAR-PAR,9,REGULAR SEASON,True,True,Madar Yam,16:55,2,1,4,0,3,0,0,0,1,1,2,0,1,0,1,1,0,-4,-9
BAR-PAR,9,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,68,13,36,6,20,24,26,11,19,30,10,3,8,5,2,21,21,67,0
ZAL-PAR,23,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAL-PAR,23,REGULAR SEASON,True,True,Leday Zach,27:59,11,2,6,1,2,4,4,3,7,10,0,0,1,0,0,3,3,15,16
ZAL-PAR,23,REGULAR SEASON,True,True,Avramovic Aleksa,20:51,3,0,2,1,2,0,0,1,2,3,4,0,0,1,0,2,1,7,1
ZAL-PAR,23,REGULAR SEASON,False,True,Smailagic Alen,15:36,8,1,3,2,2,0,0,2,0,2,0,0,0,0,0,2,2,8,13
ZAL-PAR,23,REGULAR SEASON,True,True,Papapetrou Ioannis,26:42,17,3,6,3,4,2,2,3,1,4,0,0,0,0,1,2,3,17,-2
ZAL-PAR,23,REGULAR SEASON,True,True,Lessort Mathias,29:28,14,5,8,0,0,4,7,2,4,6,1,0,6,0,1,3,4,9,8
ZAL-PAR,23,REGULAR SEASON,False,True,Trifunovic Uros,17:08,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,2,0,2,13
ZAL-PAR,23,REGULAR SEASON,False,False,Madar Yam,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAL-PAR,23,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,88,18,34,13,22,13,16,15,17,32,15,4,11,1,2,22,19,96,0
MAD-PAR,10,REGULAR SEASON,True,True,Leday Zach,28:50,20,2,5,4,6,4,4,3,3,6,6,0,3,1,0,3,5,27,0
MAD-PAR,10,REGULAR SEASON,False,True,Papapetrou Ioannis,12:47,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,-5,-5
MAD-PAR,10,REGULAR SEASON,True,True,Brodziansky Vladimir,21:54,8,1,1,2,5,0,0,0,1,1,1,2,0,0,0,4,0,5,-3
MAD-PAR,10,REGULAR SEASON,False,False,Glas Gregor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,10,REGULAR SEASON,False,True,Lessort Mathias,16:01,8,3,4,0,0,2,2,2,1,3,0,0,2,2,0,2,2,10,-11
MAD-PAR,10,REGULAR SEASON,False,False,Trifunovic Uros,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,10,REGULAR SEASON,False,True,Madar Yam,05:08,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,-5
MAD-PAR,10,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,97,15,29,17,35,16,18,9,15,24,21,3,13,3,2,22,20,97,0
PAR-BAS,19,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-BAS,19,REGULAR SEASON,False,True,Leday Zach,19:38,2,1,1,0,1,0,0,1,4,5,0,1,0,2,1,2,1,7,16
PAR-BAS,19,REGULAR SEASON,True,True,Avramovic Aleksa,19:21,7,2,4,1,2,0,0,0,3,3,4,1,3,1,0,2,0,8,3
PAR-BAS,19,REGULAR SEASON,False,True,Smailagic Alen,12:09,0,0,1,0,1,0,0,2,1,3,1,0,0,0,0,3,1,0,1
PAR-BAS,19,REGULAR SEASON,True,True,Papapetrou Ioannis,29:50,13,2,4,3,5,0,0,1,3,4,6,2,0,0,0,3,1,19,12
PAR-BAS,19,REGULAR SEASON,True,True,Lessort Mathias,27:51,11,5,7,0,0,1,4,2,3,5,3,0,2,1,0,2,9,20,17
PAR-BAS,19,REGULAR SEASON,True,True,Trifunovic Uros,25:36,15,2,3,3,4,2,2,0,2,2,0,2,0,0,0,1,2,18,1
PAR-BAS,19,REGULAR SEASON,False,True,Madar Yam,14:34,10,2,2,0,0,6,6,0,2,2,0,0,1,0,0,2,3,12,9
PAR-BAS,19,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,83,15,28,13,23,14,19,7,25,32,17,8,13,4,1,19,20,103,0
TEL-PAR,18,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-PAR,18,REGULAR SEASON,True,True,Leday Zach,33:58,15,6,10,0,0,3,4,5,4,9,0,0,0,1,3,2,4,19,-8
TEL-PAR,18,REGULAR SEASON,False,True,Avramovic Aleksa,13:32,15,5,8,1,3,2,2,3,0,3,3,0,3,0,0,4,2,11,1
TEL-PAR,18,REGULAR SEASON,True,True,Smailagic Alen,04:22,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,-2,-10
TEL-PAR,18,REGULAR SEASON,True,True,Papapetrou Ioannis,19:35,2,1,2,0,0,0,0,0,3,3,0,1,2,0,0,1,1,3,-14
TEL-PAR,18,REGULAR SEASON,False,True,Lessort Mathias,35:38,5,2,4,0,0,1,2,1,7,8,2,1,0,0,1,2,4,14,1
TEL-PAR,18,REGULAR SEASON,False,True,Trifunovic Uros,17:19,3,0,1,1,2,0,0,0,2,2,0,1,1,0,1,1,0,1,0
TEL-PAR,18,REGULAR SEASON,True,True,Madar Yam,03:04,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-3,0
TEL-PAR,18,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,81,21,40,6,20,21,25,11,22,33,10,5,13,1,6,22,25,77,0
PAM-PAR,20,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAM-PAR,20,REGULAR SEASON,False,True,Leday Zach,13:24,7,1,2,1,1,2,2,0,1,1,1,1,1,0,0,2,2,8,-9
PAM-PAR,20,REGULAR SEASON,True,True,Avramovic Aleksa,14:47,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4,1,-5,-4
PAM-PAR,20,REGULAR SEASON,False,True,Smailagic Alen,16:18,7,2,2,0,1,3,4,0,2,2,1,2,1,1,0,2,2,10,-1
PAM-PAR,20,REGULAR SEASON,True,True,Papapetrou Ioannis,20:29,3,0,2,1,3,0,0,0,0,0,2,1,0,0,0,1,1,2,-11
PAM-PAR,20,REGULAR SEASON,True,True,Lessort Mathias,20:06,8,3,3,0,0,2,2,1,2,3,3,0,2,1,0,5,5,13,-3
PAM-PAR,20,REGULAR SEASON,True,True,Trifunovic Uros,24:00,9,0,1,3,4,0,0,1,5,6,3,1,0,0,1,0,1,17,3
PAM-PAR,20,REGULAR SEASON,False,True,Madar Yam,01:44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,2
PAM-PAR,20,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,81,14,24,12,25,17,21,4,14,18,15,7,15,2,1,26,24,78,0
MAD-PAR,35,PLAYOFFS,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD-PAR,35,PLAYOFFS,True,True,Leday Zach,32:30,13,4,7,0,2,5,5,1,3,4,1,0,3,0,0,5,5,10,14
MAD-PAR,35,PLAYOFFS,True,True,Avramovic Aleksa,20:11,8,1,3,2,4,0,0,0,3,3,1,0,0,0,0,2,2,8,-4
MAD-PAR,35,PLAYOFFS,True,True,Smailagic Alen,10:40,11,1,3,3,3,0,0,0,2,2,1,1,1,0,1,4,0,7,13
MAD-PAR,35,PLAYOFFS,False,True,Papapetrou Ioannis,05:58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-3,-15
MAD-PAR,35,PLAYOFFS,False,True,Lessort Mathias,29:38,11,4,7,0,0,3,4,1,2,3,1,1,1,1,1,2,7,16,-9
MAD-PAR,35,PLAYOFFS,True,True,Trifunovic Uros,13:15,1,0,1,0,2,1,2,1,2,3,0,0,0,0,0,1,1,0,1
MAD-PAR,35,PLAYOFFS,False,True,Madar Yam,14:18,6,0,1,2,2,0,0,1,1,2,0,0,0,1,0,0,0,8,3
MAD-PAR,35,PLAYOFFS,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,89,13,29,13,26,24,27,8,22,30,13,2,10,2,3,23,28,96,0
MCO-PAR,33,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO-PAR,33,REGULAR SEASON,True,True,Leday Zach,36:38,22,3,7,1,3,13,14,0,2,2,0,0,1,0,1,3,12,24,-7
MCO-PAR,33,REGULAR SEASON,False,True,Avramovic Aleksa,24:37,22,5,5,3,8,3,4,0,3,3,3,1,2,0,0,4,3,20,14
MCO-PAR,33,REGULAR SEASON,True,True,Smailagic Alen,16:12,12,2,3,2,3,2,4,3,1,4,1,0,1,1,0,4,5,14,5
MCO-PAR,33,REGULAR SEASON,True,True,Papapetrou Ioannis,18:04,6,0,0,2,2,0,0,0,3,3,0,0,0,0,0,3,0,6,2
MCO-PAR,33,REGULAR SEASON,False,True,Lessort Mathias,23:22,4,2,3,0,0,0,0,1,8,9,2,2,3,0,0,4,1,10,-1
MCO-PAR,33,REGULAR SEASON,False,False,Trifunovic Uros,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO-PAR,33,REGULAR SEASON,True,True,Madar Yam,08:18,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-6,0
MCO-PAR,33,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,88,16,30,11,24,23,27,7,20,27,13,5,14,1,2,23,24,88,0
RED-PAR,21,REGULAR SEASON,False,True,Leday Zach,32:18,20,3,7,4,5,2,2,1,2,3,0,2,0,1,1,2,4,22,3
RED-PAR,21,REGULAR SEASON,False,True,Avramovic Aleksa,10:32,3,0,2,1,5,0,0,0,1,1,4,0,0,0,0,2,1,1,0
RED-PAR,21,REGULAR SEASON,False,True,Smailagic Alen,12:27,7,3,4,0,0,1,2,3,1,4,0,1,1,0,0,2,3,10,0
RED-PAR,21,REGULAR SEASON,True,True,Papapetrou Ioannis,21:27,0,0,2,0,1,0,0,1,2,3,1,0,0,1,0,1,2,3,-1
RED-PAR,21,REGULAR SEASON,False,False,Brodziansky Vladimir,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED-PAR,21,REGULAR SEASON,True,True,Lessort Mathias,27:27,13,5,6,0,0,3,4,1,7,8,0,2,1,0,0,3,2,19,1
RED-PAR,21,REGULAR SEASON,True,True,Trifunovic Uros,18:48,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,2,2,3,-2
RED-PAR,21,REGULAR SEASON,False,True,Madar Yam,04:40,5,0,2,1,1,2,2,0,0,0,0,1,0,0,0,1,1,4,-1
RED-PAR,21,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,79,15,36,10,24,19,23,11,19,30,13,12,7,2,1,22,25,92,0
ASV-PAR,13,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV-PAR,13,REGULAR SEASON,True,True,Leday Zach,35:55,10,4,5,0,1,2,2,2,3,5,3,1,0,0,0,4,5,18,1
ASV-PAR,13,REGULAR SEASON,False,True,Smailagic Alen,04:08,2,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,3,-1
ASV-PAR,13,REGULAR SEASON,True,True,Papapetrou Ioannis,22:58,7,2,4,1,3,0,1,0,1,1,0,1,0,0,0,2,1,3,-3
ASV-PAR,13,REGULAR SEASON,False,True,Brodziansky Vladimir,06:09,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,-3,-3
ASV-PAR,13,REGULAR SEASON,True,True,Lessort Mathias,33:45,15,4,6,0,0,7,12,3,5,8,3,2,2,0,0,4,8,23,-5
ASV-PAR,13,REGULAR SEASON,False,False,Trifunovic Uros,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV-PAR,13,REGULAR SEASON,False,True,Madar Yam,04:55,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,1,5
ASV-PAR,13,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,87,25,37,5,17,22,31,6,17,23,18,8,9,1,0,22,27,100,0
PAR-TEL,8,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
