game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
PAR-TEL,8,REGULAR SEASON,True,True,Leday Zach,36:43,21,5,8,2,3,5,6,1,6,7,2,1,1,0,1,2,5,27,4
PAR-TEL,8,REGULAR SEASON,False,True,Smailagic Alen,04:44,9,4,4,0,0,1,1,2,0,2,0,0,0,0,0,1,1,11,-5
PAR-TEL,8,REGULAR SEASON,True,True,Papapetrou Ioannis,17:12,0,0,0,0,3,0,0,0,3,3,1,0,2,1,0,2,2,0,0
PAR-TEL,8,REGULAR SEASON,False,False,Glas Gregor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-TEL,8,REGULAR SEASON,True,True,Lessort Mathias,33:27,16,6,9,0,0,4,4,7,1,8,4,0,2,1,0,2,5,27,11
PAR-TEL,8,REGULAR SEASON,False,True,Trifunovic Uros,00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-TEL,8,REGULAR SEASON,True,True,Madar Yam,13:20,8,1,1,2,2,0,0,0,0,0,1,0,0,0,0,4,0,5,-5
PAR-TEL,8,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,96,26,43,8,18,20,21,11,22,33,16,3,9,3,4,16,21,115,0
PAR-ASV,22,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-ASV,22,REGULAR SEASON,True,True,Leday Zach,32:10,9,3,3,0,1,3,4,1,6,7,1,3,0,0,0,1,4,21,20
PAR-ASV,22,REGULAR SEASON,True,True,Avramovic Aleksa,12:18,6,3,4,0,1,0,0,0,1,1,0,1,2,0,0,1,1,4,12
PAR-ASV,22,REGULAR SEASON,False,True,Smailagic Alen,15:12,3,1,2,0,2,1,2,1,2,3,1,1,2,2,0,2,1,3,5
PAR-ASV,22,REGULAR SEASON,False,True,Papapetrou Ioannis,18:45,3,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,1,4,13
PAR-ASV,22,REGULAR SEASON,True,True,Lessort Mathias,24:48,12,3,6,0,0,6,6,3,1,4,2,2,1,1,0,1,5,21,16
PAR-ASV,22,REGULAR SEASON,True,True,Trifunovic Uros,14:08,7,2,3,1,1,0,0,0,1,1,1,1,0,0,0,2,0,7,2
PAR-ASV,22,REGULAR SEASON,False,True,Madar Yam,06:44,3,0,0,1,2,0,0,1,0,1,1,0,0,0,0,4,0,0,-2
PAR-ASV,22,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,92,25,41,8,21,18,21,10,17,27,12,11,7,3,0,16,23,113,0
PAR-PAM,11,REGULAR SEASON,False,True,Vukcevic Tristan,03:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-3,-6
PAR-PAM,11,REGULAR SEASON,True,True,Leday Zach,37:36,12,4,8,0,1,4,4,0,2,2,1,1,1,0,1,4,4,9,-1
PAR-PAM,11,REGULAR SEASON,True,True,Papapetrou Ioannis,27:22,4,1,1,0,3,2,2,1,2,3,1,2,0,0,0,0,5,12,-7
PAR-PAM,11,REGULAR SEASON,True,True,Brodziansky Vladimir,05:33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2
PAR-PAM,11,REGULAR SEASON,False,False,Glas Gregor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-PAM,11,REGULAR SEASON,False,True,Lessort Mathias,39:27,22,8,9,0,1,6,7,2,8,10,1,0,1,2,0,2,8,37,-2
PAR-PAM,11,REGULAR SEASON,False,True,Trifunovic Uros,03:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
PAR-PAM,11,REGULAR SEASON,True,True,Madar Yam,13:29,13,3,3,2,3,1,2,1,0,1,2,0,1,0,0,1,2,14,-2
PAR-PAM,11,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,225:00,96,25,35,8,27,22,25,6,17,23,17,5,12,5,2,20,26,106,0
MAD-PAR,36,PLAYOFFS,False,True,Vukcevic Tristan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0
MAD-PAR,36,PLAYOFFS,True,True,Leday Zach,28:49,15,2,3,3,5,2,3,1,5,6,0,0,2,0,0,2,4,17,9
MAD-PAR,36,PLAYOFFS,False,True,Avramovic Aleksa,12:43,4,2,2,0,2,0,0,0,1,1,3,2,0,0,0,2,0,6,6
MAD-PAR,36,PLAYOFFS,False,True,Smailagic Alen,07:40,7,2,2,1,1,0,1,0,0,0,0,0,0,0,0,4,2,4,5
MAD-PAR,36,PLAYOFFS,True,True,Papapetrou Ioannis,18:33,6,2,3,0,2,2,2,0,1,1,1,0,0,0,0,3,1,3,7
MAD-PAR,36,PLAYOFFS,True,True,Lessort Mathias,29:23,10,4,6,0,0,2,2,4,5,9,1,1,1,1,1,2,4,20,5
MAD-PAR,36,PLAYOFFS,False,True,Trifunovic Uros,00:33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
MAD-PAR,36,PLAYOFFS,True,True,Madar Yam,12:03,4,2,4,0,2,0,0,0,1,1,3,0,1,1,0,4,1,1,9
MAD-PAR,36,PLAYOFFS,False,True,PARTIZAN MOZZART BET BELGRADE,190:00,95,17,28,12,28,25,28,7,22,29,15,7,11,2,1,34,27,99,0
PAR-PAN,34,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-PAN,34,REGULAR SEASON,True,True,Leday Zach,34:21,9,3,5,0,2,3,4,1,3,4,1,1,1,1,0,2,5,13,17
PAR-PAN,34,REGULAR SEASON,False,True,Avramovic Aleksa,17:32,14,4,7,2,5,0,0,1,2,3,3,2,0,0,0,0,4,20,7
PAR-PAN,34,REGULAR SEASON,False,True,Smailagic Alen,10:20,4,1,1,0,2,2,2,1,1,2,1,0,0,1,0,2,1,5,1
PAR-PAN,34,REGULAR SEASON,True,True,Papapetrou Ioannis,15:33,3,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,1,4,-13
PAR-PAN,34,REGULAR SEASON,True,True,Lessort Mathias,29:40,9,3,5,0,0,3,5,1,8,9,2,0,1,0,0,3,4,16,1
PAR-PAN,34,REGULAR SEASON,False,True,Trifunovic Uros,06:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-5
PAR-PAN,34,REGULAR SEASON,True,True,Madar Yam,04:50,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,-1
PAR-PAN,34,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,83,21,35,10,23,11,15,9,18,27,18,7,9,3,2,17,22,101,0
PAR-MUN,16,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-MUN,16,REGULAR SEASON,True,True,Leday Zach,34:40,15,4,6,1,1,4,5,0,9,9,0,0,0,0,0,2,4,23,10
PAR-MUN,16,REGULAR SEASON,False,True,Avramovic Aleksa,03:13,2,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,3
PAR-MUN,16,REGULAR SEASON,False,True,Smailagic Alen,10:56,2,1,1,0,0,0,0,3,0,3,0,0,0,0,0,2,1,4,-1
PAR-MUN,16,REGULAR SEASON,False,True,Papapetrou Ioannis,19:55,2,1,2,0,1,0,0,0,2,2,0,0,1,1,0,3,0,-1,2
PAR-MUN,16,REGULAR SEASON,True,True,Lessort Mathias,29:04,16,5,8,0,0,6,7,4,7,11,1,2,1,1,0,3,5,28,7
PAR-MUN,16,REGULAR SEASON,True,True,Trifunovic Uros,18:15,2,1,2,0,1,0,0,0,1,1,0,1,0,0,0,2,1,1,15
PAR-MUN,16,REGULAR SEASON,True,True,Madar Yam,22:06,14,6,9,0,1,2,2,2,1,3,3,0,1,1,0,4,3,15,11
PAR-MUN,16,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,83,27,50,3,15,20,26,11,25,36,11,4,6,5,1,25,26,92,0
PAR-MAD,38,PLAYOFFS,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-MAD,38,PLAYOFFS,True,True,Leday Zach,38:58,25,12,14,0,2,1,2,1,2,3,1,1,0,0,0,4,4,25,-5
PAR-MAD,38,PLAYOFFS,False,False,Koprivica Balsa,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-MAD,38,PLAYOFFS,False,True,Smailagic Alen,07:27,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,1,0,2
PAR-MAD,38,PLAYOFFS,False,True,Papapetrou Ioannis,30:55,18,3,4,3,5,3,5,1,3,4,0,0,1,0,0,2,4,18,2
PAR-MAD,38,PLAYOFFS,True,True,Lessort Mathias,30:27,11,3,7,0,0,5,10,3,4,7,2,1,3,0,1,3,6,11,-8
PAR-MAD,38,PLAYOFFS,True,True,Trifunovic Uros,13:12,3,0,0,1,1,0,0,0,3,3,0,0,0,0,0,3,0,3,-11
PAR-MAD,38,PLAYOFFS,True,True,Madar Yam,15:15,6,3,4,0,2,0,0,0,1,1,2,2,0,0,0,1,2,9,-16
PAR-MAD,38,PLAYOFFS,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,78,25,44,6,23,10,19,11,20,31,12,7,7,1,2,23,22,74,0
VIR-PAR,27,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIR-PAR,27,REGULAR SEASON,True,True,Leday Zach,35:40,8,4,9,0,1,0,1,3,5,8,2,4,2,0,1,3,4,13,7
VIR-PAR,27,REGULAR SEASON,False,True,Avramovic Aleksa,03:42,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,-2,-4
VIR-PAR,27,REGULAR SEASON,True,True,Smailagic Alen,19:27,9,1,3,2,3,1,2,1,3,4,2,2,0,0,1,3,3,12,11
VIR-PAR,27,REGULAR SEASON,False,True,Papapetrou Ioannis,06:29,3,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,-8
VIR-PAR,27,REGULAR SEASON,False,True,Lessort Mathias,20:25,5,2,3,0,0,1,1,2,0,2,0,0,2,0,0,4,4,4,-4
VIR-PAR,27,REGULAR SEASON,False,True,Trifunovic Uros,05:29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,-1
VIR-PAR,27,REGULAR SEASON,True,True,Madar Yam,17:14,11,3,4,1,4,2,2,1,0,1,1,0,1,0,0,3,1,6,6
VIR-PAR,27,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,88,29,47,6,18,12,15,12,16,28,17,14,12,0,2,22,23,101,0
PAR-BER,26,REGULAR SEASON,False,True,Vukcevic Tristan,06:11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,-3,2
PAR-BER,26,REGULAR SEASON,True,True,Leday Zach,33:42,13,5,7,0,3,3,4,0,3,3,1,3,2,1,1,3,5,14,14
PAR-BER,26,REGULAR SEASON,False,True,Avramovic Aleksa,18:21,19,2,5,5,7,0,0,0,0,0,2,0,1,0,0,2,1,14,7
PAR-BER,26,REGULAR SEASON,True,True,Smailagic Alen,10:43,6,0,0,2,4,0,0,0,1,1,1,0,0,0,0,5,0,1,5
PAR-BER,26,REGULAR SEASON,True,True,Papapetrou Ioannis,11:15,5,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,-4
PAR-BER,26,REGULAR SEASON,False,True,Lessort Mathias,26:33,10,2,4,0,0,6,10,3,3,6,2,2,2,1,0,3,8,18,6
PAR-BER,26,REGULAR SEASON,False,True,Trifunovic Uros,03:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-7
PAR-BER,26,REGULAR SEASON,True,True,Madar Yam,21:37,7,2,4,0,0,3,4,0,2,2,5,0,0,0,0,2,4,13,12
PAR-BER,26,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,88,17,31,12,25,18,24,4,22,26,18,10,15,3,2,24,24,95,0
PAR-RED,12,REGULAR SEASON,False,True,Vukcevic Tristan,13:24,2,1,2,0,0,0,0,2,4,6,3,0,1,1,0,1,0,9,3
PAR-RED,12,REGULAR SEASON,True,True,Leday Zach,24:52,4,2,2,0,3,0,0,0,4,4,1,1,3,0,0,3,1,2,0
PAR-RED,12,REGULAR SEASON,False,True,Smailagic Alen,02:34,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
PAR-RED,12,REGULAR SEASON,True,True,Papapetrou Ioannis,28:54,13,5,7,1,3,0,0,2,4,6,2,1,0,0,1,3,1,15,13
PAR-RED,12,REGULAR SEASON,False,True,Brodziansky Vladimir,01:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-3,-6
PAR-RED,12,REGULAR SEASON,True,True,Lessort Mathias,37:26,11,4,7,0,0,3,3,7,3,10,3,1,1,0,1,2,6,24,0
PAR-RED,12,REGULAR SEASON,False,True,Trifunovic Uros,03:26,2,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,-2
PAR-RED,12,REGULAR SEASON,True,True,Madar Yam,24:50,14,4,6,1,6,3,3,0,4,4,3,2,3,0,1,2,3,13,5
PAR-RED,12,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,73,25,40,5,27,8,8,17,22,39,13,8,16,1,3,20,18,76,0
BAS-PAR,2,REGULAR SEASON,False,True,Vukcevic Tristan,05:18,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
BAS-PAR,2,REGULAR SEASON,True,True,Leday Zach,38:08,23,6,9,2,2,5,7,3,7,10,2,2,2,0,0,4,6,32,-6
BAS-PAR,2,REGULAR SEASON,False,True,Koprivica Balsa,05:29,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,-5
BAS-PAR,2,REGULAR SEASON,True,True,Papapetrou Ioannis,26:17,5,2,5,0,0,1,1,2,3,5,3,0,3,0,0,5,1,3,10
BAS-PAR,2,REGULAR SEASON,False,False,Glas Gregor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS-PAR,2,REGULAR SEASON,True,True,Lessort Mathias,39:18,19,7,10,0,0,5,6,7,5,12,2,1,1,1,1,3,8,34,-4
BAS-PAR,2,REGULAR SEASON,False,True,Trifunovic Uros,03:40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,-4
BAS-PAR,2,REGULAR SEASON,False,True,Madar Yam,11:21,3,0,2,1,2,0,0,0,0,0,1,1,2,0,0,2,0,-2,-9
BAS-PAR,2,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,225:00,96,24,48,7,19,27,31,15,22,37,19,5,13,1,3,26,28,104,0
MUN-PAR,24,REGULAR SEASON,False,True,Vukcevic Tristan,01:26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,-2,-3
MUN-PAR,24,REGULAR SEASON,True,True,Leday Zach,19:21,2,1,4,0,0,0,0,2,1,3,1,0,0,1,2,2,2,2,4
MUN-PAR,24,REGULAR SEASON,False,True,Avramovic Aleksa,15:39,4,2,2,0,1,0,0,0,4,4,2,0,1,0,0,4,0,4,8
MUN-PAR,24,REGULAR SEASON,False,True,Smailagic Alen,10:46,2,1,3,0,1,0,0,0,3,3,0,0,0,1,0,2,1,2,12
MUN-PAR,24,REGULAR SEASON,True,True,Lessort Mathias,31:59,16,5,9,0,0,6,9,2,5,7,0,0,2,0,2,2,7,17,6
MUN-PAR,24,REGULAR SEASON,False,True,Trifunovic Uros,13:22,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
MUN-PAR,24,REGULAR SEASON,True,True,Madar Yam,15:12,4,2,5,0,1,0,0,0,3,3,2,2,0,1,1,0,1,8,5
MUN-PAR,24,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,82,24,41,4,14,22,27,7,28,35,13,3,8,3,5,20,22,93,0
OLY-PAR,7,REGULAR SEASON,False,True,Vukcevic Tristan,10:36,0,0,1,0,0,0,0,0,2,2,2,0,1,2,0,4,0,0,1
OLY-PAR,7,REGULAR SEASON,True,True,Leday Zach,30:37,6,3,5,0,2,0,0,1,4,5,0,0,3,1,1,1,3,6,-32
OLY-PAR,7,REGULAR SEASON,False,True,Papapetrou Ioannis,29:20,12,3,6,2,2,0,0,1,3,4,1,0,1,0,0,1,2,14,-12
OLY-PAR,7,REGULAR SEASON,False,True,Jovanovic Dordje,01:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
OLY-PAR,7,REGULAR SEASON,False,True,Glas Gregor,07:54,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,2,0,-6,-9
OLY-PAR,7,REGULAR SEASON,True,True,Lessort Mathias,35:25,10,5,7,0,0,0,0,1,5,6,1,1,1,0,0,1,5,19,-25
OLY-PAR,7,REGULAR SEASON,True,True,Madar Yam,14:53,2,1,5,0,3,0,0,1,0,1,2,1,2,0,0,2,0,-5,-17
OLY-PAR,7,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,58,20,34,5,20,3,5,9,21,30,12,6,20,3,2,19,17,54,0
IST-PAR,29,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IST-PAR,29,REGULAR SEASON,True,True,Leday Zach,29:01,16,4,6,0,1,8,8,0,3,3,1,1,2,0,0,2,6,20,4
IST-PAR,29,REGULAR SEASON,False,True,Avramovic Aleksa,27:10,14,3,6,2,4,2,2,0,3,3,1,2,1,1,0,2,3,16,16
IST-PAR,29,REGULAR SEASON,True,True,Smailagic Alen,14:51,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,0,0,-2
IST-PAR,29,REGULAR SEASON,True,True,Papapetrou Ioannis,08:39,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,-17
IST-PAR,29,REGULAR SEASON,False,True,Lessort Mathias,35:55,17,5,7,0,0,7,7,4,3,7,1,2,3,0,1,2,4,23,22
IST-PAR,29,REGULAR SEASON,False,True,Trifunovic Uros,07:25,2,1,2,0,1,0,0,0,1,1,0,1,0,0,0,3,0,-1,-2
IST-PAR,29,REGULAR SEASON,True,True,Madar Yam,05:21,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,-9
IST-PAR,29,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,97,21,34,9,19,28,28,5,22,27,11,8,10,3,3,21,24,113,0
PAN-PAR,6,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN-PAR,6,REGULAR SEASON,True,True,Leday Zach,36:48,13,5,12,0,2,3,6,5,5,10,2,0,3,1,2,3,7,13,5
PAN-PAR,6,REGULAR SEASON,False,True,Koprivica Balsa,01:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,3
PAN-PAR,6,REGULAR SEASON,True,True,Papapetrou Ioannis,24:58,2,1,2,0,1,0,0,0,3,3,1,2,1,0,0,2,2,5,-7
PAN-PAR,6,REGULAR SEASON,False,False,Jovanovic Dordje,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN-PAR,6,REGULAR SEASON,False,False,Glas Gregor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN-PAR,6,REGULAR SEASON,True,True,Lessort Mathias,38:18,15,5,7,0,0,5,6,6,5,11,2,2,3,2,0,3,5,28,0
PAN-PAR,6,REGULAR SEASON,False,True,Trifunovic Uros,00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PAN-PAR,6,REGULAR SEASON,True,True,Madar Yam,20:01,10,2,4,2,3,0,0,0,1,1,1,3,1,0,0,3,0,8,10
PAN-PAR,6,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,91,23,40,9,19,18,24,13,22,35,13,9,15,3,3,22,23,101,0
PAR-MAD,37,PLAYOFFS,False,True,Vukcevic Tristan,06:51,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,4
PAR-MAD,37,PLAYOFFS,True,True,Leday Zach,34:18,15,3,10,2,4,3,4,1,7,8,2,1,0,0,1,0,6,21,3
PAR-MAD,37,PLAYOFFS,False,True,Avramovic Aleksa,10:29,0,0,2,0,1,0,0,0,1,1,1,1,2,0,0,3,0,-5,-8
PAR-MAD,37,PLAYOFFS,False,True,Koprivica Balsa,01:07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1
PAR-MAD,37,PLAYOFFS,True,True,Smailagic Alen,26:06,15,3,3,2,4,3,5,2,0,2,1,0,2,0,0,1,4,15,-8
PAR-MAD,37,PLAYOFFS,False,True,Papapetrou Ioannis,22:06,4,0,2,1,2,1,2,0,2,2,2,0,0,0,1,2,1,2,-1
PAR-MAD,37,PLAYOFFS,False,True,Trifunovic Uros,07:42,2,1,2,0,1,0,0,3,0,3,0,1,0,0,0,0,0,4,-8
PAR-MAD,37,PLAYOFFS,True,True,Madar Yam,21:20,12,4,4,0,3,4,4,2,4,6,3,1,1,0,0,5,2,15,10
PAR-MAD,37,PLAYOFFS,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,80,18,37,10,29,14,18,10,24,34,13,5,7,1,3,17,21,85,0
PAR-ULK,25,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-ULK,25,REGULAR SEASON,True,True,Leday Zach,33:20,2,1,4,0,1,0,0,1,4,5,0,0,0,0,0,1,2,4,-4
PAR-ULK,25,REGULAR SEASON,False,True,Avramovic Aleksa,07:08,2,1,2,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,-3
PAR-ULK,25,REGULAR SEASON,False,True,Smailagic Alen,09:50,9,3,4,1,1,0,0,5,1,6,0,0,1,0,0,0,1,14,-3
PAR-ULK,25,REGULAR SEASON,True,True,Papapetrou Ioannis,25:13,7,3,5,0,2,1,1,0,1,1,1,0,1,0,0,1,2,5,-4
PAR-ULK,25,REGULAR SEASON,True,True,Lessort Mathias,30:05,15,4,5,0,0,7,8,4,7,11,2,1,0,2,0,4,5,30,0
PAR-ULK,25,REGULAR SEASON,False,True,Trifunovic Uros,08:25,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-6
PAR-ULK,25,REGULAR SEASON,True,True,Madar Yam,17:17,15,3,4,2,4,3,3,0,1,1,4,1,1,0,0,5,2,14,-7
PAR-ULK,25,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,94,25,42,8,23,20,22,14,20,34,14,2,9,2,1,22,23,103,0
PAR-BAR,31,REGULAR SEASON,False,False,Vukcevic Tristan,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR-BAR,31,REGULAR SEASON,True,True,Leday Zach,34:40,10,4,8,0,1,2,2,1,4,5,0,2,0,0,0,2,2,12,-13
PAR-BAR,31,REGULAR SEASON,False,True,Avramovic Aleksa,15:38,6,3,4,0,1,0,0,0,2,2,1,1,0,0,0,5,1,4,9
PAR-BAR,31,REGULAR SEASON,False,True,Smailagic Alen,11:45,6,1,2,1,4,1,2,2,0,2,0,1,1,0,0,2,2,3,-5
PAR-BAR,31,REGULAR SEASON,False,True,Papapetrou Ioannis,20:50,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,4
PAR-BAR,31,REGULAR SEASON,True,True,Lessort Mathias,30:04,5,2,3,0,0,1,2,3,3,6,0,0,0,0,0,3,2,8,-7
PAR-BAR,31,REGULAR SEASON,False,True,Trifunovic Uros,04:26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-2
PAR-BAR,31,REGULAR SEASON,True,True,Madar Yam,13:52,6,3,6,0,0,0,0,1,1,2,0,0,0,1,1,1,2,6,-15
PAR-BAR,31,REGULAR SEASON,False,True,PARTIZAN MOZZART BET BELGRADE,200:00,80,24,47,6,19,14,17,9,15,24,5,6,3,2,2,22,23,74,0
BER-PAR,1,REGULAR SEASON,True,True,Vukcevic Tristan,05:18,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,2,-2
BER-PAR,1,REGULAR SEASON,False,True,Leday Zach,29:19,13,4,7,1,1,2,2,0,1,1,1,1,1,0,0,2,1,11,-1
BER-PAR,1,REGULAR SEASON,True,True,Koprivica Balsa,04:03,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-2
BER-PAR,1,REGULAR SEASON,False,True,Papapetrou Ioannis,11:39,1,0,4,0,0,1,2,0,0,0,0,0,1,0,0,0,1,-4,-14
BER-PAR,1,REGULAR SEASON,False,False,Jovanovic Dordje,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BER-PAR,1,REGULAR SEASON,False,True,Lessort Mathias,25:06,9,4,6,0,0,1,2,3,3,6,0,0,0,3,0,4,3,14,-4
